Cycle 	 Total Moment 	 E energy 	 B energy 	 Total KE 
0	23.7562	1.5272e-09	3.81806e-06	1.09026
4	23.7567	1.5272e-09	3.81806e-06	1.09033
8	23.7573	1.5272e-09	3.81806e-06	1.0904
12	23.7579	1.5272e-09	3.81806e-06	1.09047
16	23.7584	1.5272e-09	3.81806e-06	1.09054
20	23.759	1.5272e-09	3.81806e-06	1.0906
24	23.7596	1.5272e-09	3.81806e-06	1.09067
28	23.7601	1.5272e-09	3.81806e-06	1.09074
32	23.7607	1.5272e-09	3.81806e-06	1.09081
36	23.7613	1.5272e-09	3.81806e-06	1.09088
40	23.7619	1.5272e-09	3.81806e-06	1.09094
44	23.7624	1.5272e-09	3.81806e-06	1.09101
48	23.763	1.5272e-09	3.81806e-06	1.09108
52	23.7636	1.5272e-09	3.81806e-06	1.09115
56	23.7641	1.5272e-09	3.81806e-06	1.09122
60	23.7647	1.5272e-09	3.81806e-06	1.09129
64	23.7653	1.5272e-09	3.81806e-06	1.09135
68	23.7658	1.5272e-09	3.81806e-06	1.09142
72	23.7664	1.5272e-09	3.81806e-06	1.09149
76	23.767	1.5272e-09	3.81806e-06	1.09156
80	23.7675	1.5272e-09	3.81806e-06	1.09163
84	23.7681	1.5272e-09	3.81806e-06	1.09169
88	23.7687	1.5272e-09	3.81806e-06	1.09176
92	23.7693	1.5272e-09	3.81806e-06	1.09183
96	23.7698	1.5272e-09	3.81806e-06	1.0919
100	23.7704	1.5272e-09	3.81806e-06	1.09197
104	23.771	1.5272e-09	3.81806e-06	1.09203
108	23.7715	1.5272e-09	3.81806e-06	1.0921
112	23.7721	1.5272e-09	3.81806e-06	1.09217
116	23.7727	1.5272e-09	3.81806e-06	1.09224
120	23.7733	1.5272e-09	3.81806e-06	1.09231
124	23.7738	1.5272e-09	3.81806e-06	1.09237
128	23.7744	1.5272e-09	3.81806e-06	1.09244
132	23.775	1.5272e-09	3.81806e-06	1.09251
136	23.7755	1.5272e-09	3.81806e-06	1.09258
140	23.7761	1.5272e-09	3.81806e-06	1.09265
144	23.7767	1.5272e-09	3.81806e-06	1.09271
148	23.7773	1.5272e-09	3.81806e-06	1.09278
152	23.7778	1.5272e-09	3.81806e-06	1.09285
156	23.7784	1.5272e-09	3.81806e-06	1.09292
160	23.779	1.5272e-09	3.81806e-06	1.09299
164	23.7795	1.5272e-09	3.81806e-06	1.09305
168	23.7801	1.5272e-09	3.81806e-06	1.09312
172	23.7807	1.5272e-09	3.81806e-06	1.09319
176	23.7813	1.5272e-09	3.81806e-06	1.09326
180	23.7818	1.5272e-09	3.81806e-06	1.09333
184	23.7824	1.5272e-09	3.81806e-06	1.09339
188	23.783	1.5272e-09	3.81806e-06	1.09346
192	23.7835	1.5272e-09	3.81806e-06	1.09353
196	23.7841	1.5272e-09	3.81806e-06	1.0936
199	23.7845	1.5272e-09	3.81806e-06	1.09365
