Cycle 	 Total Moment 	 E energy 	 B energy 	 Total KE 
0	2.15546e-14	5.87975e+10	1.47328e+14	6.24316e-07
1	2.13325e-14	5.87975e+10	1.47328e+14	6.1786e-07
2	2.13196e-14	5.87975e+10	1.47328e+14	6.17474e-07
3	2.13098e-14	5.87975e+10	1.47328e+14	6.17164e-07
4	2.12992e-14	5.87975e+10	1.47328e+14	6.16795e-07
5	2.12872e-14	5.87975e+10	1.47328e+14	6.16408e-07
6	2.12771e-14	5.87975e+10	1.47328e+14	6.16075e-07
7	2.12686e-14	5.87975e+10	1.47328e+14	6.15801e-07
8	2.12576e-14	5.87975e+10	1.47328e+14	6.15421e-07
9	2.12476e-14	5.87975e+10	1.47328e+14	6.15088e-07
10	2.12393e-14	5.87975e+10	1.47328e+14	6.14825e-07
11	2.12296e-14	5.87975e+10	1.47328e+14	6.1451e-07
12	2.1221e-14	5.87975e+10	1.47328e+14	6.14233e-07
13	2.12132e-14	5.87975e+10	1.47328e+14	6.13982e-07
14	2.12058e-14	5.87975e+10	1.47328e+14	6.13756e-07
15	2.11996e-14	5.87975e+10	1.47328e+14	6.1357e-07
16	2.11923e-14	5.87975e+10	1.47328e+14	6.13322e-07
17	2.1186e-14	5.87975e+10	1.47328e+14	6.13139e-07
18	2.11796e-14	5.87975e+10	1.47328e+14	6.12919e-07
19	2.1172e-14	5.87975e+10	1.47328e+14	6.12667e-07
20	2.11664e-14	5.87975e+10	1.47328e+14	6.12494e-07
21	2.11598e-14	5.87975e+10	1.47328e+14	6.12296e-07
22	2.11527e-14	5.87975e+10	1.47328e+14	6.12067e-07
23	2.11466e-14	5.87975e+10	1.47328e+14	6.11881e-07
24	2.11399e-14	5.87975e+10	1.47328e+14	6.11668e-07
25	2.11348e-14	5.87975e+10	1.47328e+14	6.1152e-07
26	2.11288e-14	5.87975e+10	1.47328e+14	6.11327e-07
27	2.11229e-14	5.87975e+10	1.47328e+14	6.11151e-07
28	2.11172e-14	5.87975e+10	1.47328e+14	6.10979e-07
29	2.11114e-14	5.87975e+10	1.47328e+14	6.10806e-07
