Cycle 	 Total Moment 	 E energy 	 B energy 	 Total KE 
0	0.235842	2.26609e-10	5.66577e-07	0.0103025
1	0.235842	2.26609e-10	5.66577e-07	0.0103025
2	0.235842	2.26609e-10	5.66577e-07	0.0103025
3	0.235842	2.26609e-10	5.66577e-07	0.0103025
4	0.235842	2.26609e-10	5.66577e-07	0.0103025
5	0.235842	2.26609e-10	5.66577e-07	0.0103025
6	0.235842	2.26609e-10	5.66577e-07	0.0103025
7	0.235842	2.26609e-10	5.66577e-07	0.0103025
8	0.235842	2.26609e-10	5.66577e-07	0.0103025
9	0.235842	2.26609e-10	5.66577e-07	0.0103025
10	0.235842	2.26609e-10	5.66577e-07	0.0103025
11	0.235842	2.26609e-10	5.66577e-07	0.0103025
12	0.235842	2.26609e-10	5.66577e-07	0.0103025
13	0.235842	2.26609e-10	5.66577e-07	0.0103025
14	0.235842	2.26609e-10	5.66577e-07	0.0103025
15	0.235842	2.26609e-10	5.66577e-07	0.0103025
16	0.235842	2.26609e-10	5.66577e-07	0.0103025
17	0.235842	2.26609e-10	5.66577e-07	0.0103025
18	0.235842	2.26609e-10	5.66577e-07	0.0103025
19	0.235842	2.26609e-10	5.66577e-07	0.0103025
20	0.235842	2.26609e-10	5.66577e-07	0.0103025
21	0.235842	2.26609e-10	5.66577e-07	0.0103025
22	0.235842	2.26609e-10	5.66577e-07	0.0103025
23	0.235842	2.26609e-10	5.66577e-07	0.0103025
24	0.235842	2.26609e-10	5.66577e-07	0.0103025
25	0.235842	2.26609e-10	5.66577e-07	0.0103025
26	0.235842	2.26609e-10	5.66577e-07	0.0103025
27	0.235842	2.26609e-10	5.66577e-07	0.0103025
28	0.235842	2.26609e-10	5.66577e-07	0.0103025
29	0.235842	2.26609e-10	5.66577e-07	0.0103025
