Cycle 	 Total Moment 	 E energy 	 B energy 	 Total KE 
0	2.15546e-14	4.95323e+10	1.24117e+14	6.24316e-07
4	2.12992e-14	4.95323e+10	1.24117e+14	6.16795e-07
8	2.12576e-14	4.95323e+10	1.24117e+14	6.15421e-07
12	2.1221e-14	4.95323e+10	1.24117e+14	6.14233e-07
16	2.11923e-14	4.95323e+10	1.24117e+14	6.13322e-07
20	2.11664e-14	4.95323e+10	1.24117e+14	6.12494e-07
24	2.11399e-14	4.95323e+10	1.24117e+14	6.11668e-07
28	2.11172e-14	4.95323e+10	1.24117e+14	6.10979e-07
32	2.10984e-14	4.95323e+10	1.24117e+14	6.10433e-07
36	2.10812e-14	4.95323e+10	1.24117e+14	6.09924e-07
40	2.10675e-14	4.95323e+10	1.24117e+14	6.09535e-07
44	2.10527e-14	4.95323e+10	1.24117e+14	6.09113e-07
48	2.10401e-14	4.95323e+10	1.24117e+14	6.08756e-07
52	2.10294e-14	4.95323e+10	1.24117e+14	6.08459e-07
56	2.10189e-14	4.95323e+10	1.24117e+14	6.08113e-07
60	2.10099e-14	4.95323e+10	1.24117e+14	6.07826e-07
64	2.10011e-14	4.95323e+10	1.24117e+14	6.07574e-07
68	2.09937e-14	4.95323e+10	1.24117e+14	6.07362e-07
72	2.09845e-14	4.95323e+10	1.24117e+14	6.07071e-07
76	2.09751e-14	4.95323e+10	1.24117e+14	6.06785e-07
80	2.09669e-14	4.95323e+10	1.24117e+14	6.06533e-07
84	2.09601e-14	4.95323e+10	1.24117e+14	6.06305e-07
88	2.09533e-14	4.95323e+10	1.24117e+14	6.06106e-07
92	2.09472e-14	4.95323e+10	1.24117e+14	6.05921e-07
96	2.09386e-14	4.95323e+10	1.24117e+14	6.05664e-07
99	2.0933e-14	4.95323e+10	1.24117e+14	6.05485e-07
