Cycle 	 Total Moment 	 E energy 	 B energy 	 Total KE 
0	0.236145	1.909e-10	4.77679e-07	0.0103168
4	0.236145	1.909e-10	4.77679e-07	0.0103168
8	0.236145	1.909e-10	4.77679e-07	0.0103168
12	0.236145	1.909e-10	4.77679e-07	0.0103168
16	0.236145	1.909e-10	4.77679e-07	0.0103168
20	0.236145	1.909e-10	4.77679e-07	0.0103167
24	0.236145	1.909e-10	4.77679e-07	0.0103167
28	0.236145	1.909e-10	4.77679e-07	0.0103167
32	0.236145	1.909e-10	4.77679e-07	0.0103167
36	0.236145	1.909e-10	4.77679e-07	0.0103167
40	0.236145	1.909e-10	4.77679e-07	0.0103167
44	0.236145	1.909e-10	4.77679e-07	0.0103167
48	0.236145	1.909e-10	4.77679e-07	0.0103167
52	0.236145	1.909e-10	4.77679e-07	0.0103167
56	0.236145	1.909e-10	4.77679e-07	0.0103167
60	0.236145	1.909e-10	4.77679e-07	0.0103167
64	0.236145	1.909e-10	4.77679e-07	0.0103167
68	0.236145	1.909e-10	4.77679e-07	0.0103167
72	0.236145	1.909e-10	4.77679e-07	0.0103167
76	0.236145	1.909e-10	4.77679e-07	0.0103167
80	0.236145	1.909e-10	4.77679e-07	0.0103167
84	0.236145	1.909e-10	4.77679e-07	0.0103167
88	0.236145	1.909e-10	4.77679e-07	0.0103167
92	0.236145	1.909e-10	4.77679e-07	0.0103167
96	0.236145	1.909e-10	4.77679e-07	0.0103167
99	0.236145	1.909e-10	4.77679e-07	0.0103167
