Loading configuration file "../inputs/tiny.inp" ...
Initializing simulation state ...
# x y z u v w
4.97075 1.27404 0.64262 -0.00536837 0.00301727 0.0105936
5.30656 1.81326 0.946221 0.0931106 -0.0563125 -0.0538467
4.78724 1.56436 0.758791 0.0346816 -0.000995338 0.00699224
4.87068 1.7908 0.646297 0.0303165 -0.0674813 0.0115788
5.25614 1.70131 0.689267 0.0500947 -0.0709087 0.016738
5.12962 1.39846 0.678043 -0.0280503 0.0330399 0.0163209
5.17037 1.85666 1.16045 -0.0114301 -0.0219121 0.055123
5.17867 1.66278 0.735215 -0.006853 -0.0559416 0.0125143
4.91598 1.40919 1.17705 0.016547 0.03449 0.0692909
5.18487 1.84356 1.04263 -0.00318821 -0.0342043 -0.0328617
5.25047 1.26143 0.877313 0.0453399 0.000990657 -0.0376354
4.79237 1.41674 1.13663 0.0353546 0.0352539 0.0347434
4.7507 1.72933 0.945581 0.0221245 -0.0763674 -0.0537974
5.13396 1.61489 0.909804 -0.0267674 -0.0299493 -0.0477206
5.04265 1.54795 1.18152 -0.0295715 0.00746371 0.0730802
4.83124 1.324 0.688087 0.0362582 0.0152978 0.0167221
5.01466 1.78715 1.19387 -0.0218701 -0.0688863 0.0834824
4.77553 1.7337 1.18587 0.0325708 -0.0767255 0.0767553
4.93905 1.26684 1.13394 0.00763224 0.00177249 0.0324588
5.30327 1.27556 1.11328 0.0903272 0.00330411 0.0153033
5.04073 1.43303 1.06076 -0.0291434 0.036112 -0.0226502
4.8715 1.60077 0.882462 0.0301286 -0.0216797 -0.039452
5.20395 1.56972 0.901117 0.00926413 -0.00390883 -0.0453779
5.05759 1.33486 1.14836 -0.0323201 0.0183128 0.0447603
4.95825 1.41109 0.916215 -0.000229141 0.0347028 -0.0492527
5.12657 1.58277 0.810025 -0.0288805 -0.0112309 -0.0107559
4.85333 1.35282 0.905466 0.0337242 0.0231819 -0.0465875
5.00542 1.68425 0.842044 -0.0187383 -0.0651989 -0.0238515
4.8286 1.47479 0.71867 0.0364185 0.0327961 0.0150896
5.05134 1.5824 0.700277 -0.0313003 -0.0110151 0.0165757
5.3359 1.8305 0.828678 0.117866 -0.0447476 -0.0183412
5.26125 1.76276 0.772925 0.0544226 -0.0753627 0.00276475
5.23136 1.30982 0.792007 0.029756 0.0114211 -0.00382969
5.07608 1.53634 1.10827 -0.0341466 0.0129523 0.0112784
5.34174 1.54374 1.14415 0.122963 0.00950498 0.041153
5.26171 1.81882 0.685726 0.0548083 -0.0528688 0.0166709
